# Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Derivative_order_1_number_points_3_step_1_Column_5_div_Column_3,Derivative_order_1_number_points_3_step_2_Column_5_div_Column_3,Derivative_order_1_number_points_3_step_3_Column_5_div_Column_3
lib_bnnt_M062X_Z-48.FChk,0.0,0.0,-0.0004800000000000002,-1286.938565833217,1.809662726320252,367.279941193813,-2901.486469906116,nan,nan,nan
lib_bnnt_M062X_Z-47.FChk,0.0,0.0,-0.0004700000000000002,-1286.938547754912,1.805990071822592,367.2509728324576,-2892.426912034659,-367.2509875356499675,nan,nan
lib_bnnt_M062X_Z-46.FChk,0.0,0.0,-0.0004600000000000002,-1286.938529713534,1.802317706569539,367.2220873068306,-2885.016594060996,-367.22209678719997134,-367.22213242207497005,nan
lib_bnnt_M062X_Z-45.FChk,0.0,0.0,-0.0004500000000000002,-1286.938511708588,1.798645629886848,367.1932667965269,-2879.422795144092,-367.19327730849997263,-367.1932969073249715,-367.19333496541665665
lib_bnnt_M062X_Z-44.FChk,0.0,0.0,-0.0004400000000000002,-1286.9384937405,1.794973841023369,367.1644921634656,-2875.818952458195,-367.1644970274499717,-367.16450868029997012,-367.16452860009999176
lib_bnnt_M062X_Z-43.FChk,0.0,0.0,-0.0004300000000000002,-1286.938475809181,1.791302339946299,367.1357430530618,-2874.409263384374,-367.1357400520999676,-367.1357445065499709,-367.13574395181665805
lib_bnnt_M062X_Z-42.FChk,0.0,0.0,-0.0004200000000000002,-1286.93845791447,1.787631126222327,367.1070081510695,-2875.448935045412,-367.1069919856499701,-367.1069772734749697,-367.1069599583166573
lib_bnnt_M062X_Z-41.FChk,0.0,0.0,-0.0004100000000000002,-1286.938440056493,1.783960200106586,367.0782247570487,-2879.254912103235,-367.07821449484997178,-367.078191423749969,-367.07814110914998906
lib_bnnt_M062X_Z-40.FChk,0.0,0.0,-0.0004000000000000002,-1286.938422235273,1.78028956193243,367.0493998349807,-2886.208336754311,-367.04939086184996794,-367.0493416376749687,-367.0492671070166563
lib_bnnt_M062X_Z-39.FChk,0.0,0.0,-0.0003900000000000002,-1286.938404450688,1.776619212289349,367.0204883814189,-2896.742117832399,-367.02046878049996564,-367.02040466769996832,-367.02029816634999018
lib_bnnt_M062X_Z-38.FChk,0.0,0.0,-0.0003800000000000002,-1286.938386702836,1.77294915255682,366.9914520291428,-2911.314978592151,-366.99141847354996868,-366.9913400020999683,-366.9911981406333226
lib_bnnt_M062X_Z-37.FChk,0.0,0.0,-0.0003700000000000002,-1286.938368991674,1.769279383919878,366.9622477392263,-2930.36704046931,-366.96221122369630316,-366.96210178002130106,-366.96192384306300988
lib_bnnt_M062X_Z-36.FChk,0.0,0.0,-0.0003600000000000001,-1286.938351317269,1.765609908332346,366.9328281395323,-2954.258345809737,-366.93278508650369865,-366.93265137435370113,-366.93243062058701323
lib_bnnt_M062X_Z-35.FChk,0.0,0.0,-0.0003500000000000002,-1286.938333679527,1.761940728218148,366.9031454537525,-2983.192271922302,-366.9030915249963048,-366.90293669409630492,-366.90267507662967855
lib_bnnt_M062X_Z-34.FChk,0.0,0.0,-0.0003400000000000001,-1286.938316078476,1.758271846501846,366.8731478323253,-3017.128539282496,-366.87308830170370427,-366.87290700310370004,-366.87260728670367896
lib_bnnt_M062X_Z-33.FChk,0.0,0.0,-0.0003300000000000002,-1286.938298514142,1.754603266452114,366.8427873251689,-3055.691852849502,-366.84272248119630339,-366.84251838679630486,-366.8421846145796786
lib_bnnt_M062X_Z-32.FChk,0.0,0.0,-0.0003200000000000001,-1286.938280986369,1.750934992052222,366.8120213589357,-3098.094757571957,-366.81194847189996766,-366.81173115937496965,-366.81137287844999129
lib_bnnt_M062X_Z-31.FChk,0.0,0.0,-0.0003100000000000001,-1286.938263495425,1.747267027482676,366.7808169949104,-3143.083980937485,-366.78073983754996934,-366.78051516682496824,-366.78014452131665807
lib_bnnt_M062X_Z-30.FChk,0.0,0.0,-0.0003000000000000001,-1286.938246041045,1.743599377255471,366.7491568590878,-3188.931123936259,-366.74908186174996882,-366.74885554137497104,-366.74848823298332243
