# # Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Hyperpolarizability_zzz,(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 2),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 3),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 3),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 4),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 4),(From Linear Fit Derivative Order 3 of Column 4 with respect to Column 3 Polynomial Order 4),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 3 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 4 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 6),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 6),(From Linear Fit Derivative Order 3 of Column 4 with respect to Column 3 Polynomial Order 6),(From Linear Fit Derivative Order 4 of Column 4 with respect to Column 3 Polynomial Order 6)
lib_bnnt_M062X_Z-48.FChk,0.0,0.0,-0.0004800000000000002,-1286.938565833217,1.809662726320252,367.279941193813,-2901.486469906116,1.8094392277277537957,1.8096216240754668472,-366.95840192025860352,1.8096628757478343107,-367.34987090904364732,3898.964979145342409,1.8096848350226090014,-367.6765903422649896,6641.9291048348435536,-16867179.836813525912,1.809649865268848334,-366.92567292914033622,-2861.7887766939041176,57784728.893981100762
lib_bnnt_M062X_Z-47.FChk,0.0,0.0,-0.0004700000000000002,-1286.938547754912,1.805990071822592,367.2509728324576,-2892.426912034659,1.8057791929035112698,1.8059521395270117314,-366.93850777076662031,1.8059895713239546356,-367.31108017071404298,3859.1826867755411414,1.806008398415632417,-367.61100993522728114,6474.5998008269708093,-16598680.9647611165,1.8059804749498436247,-366.95145394599579358,-2299.6213881575911646,54660652.637982411252
lib_bnnt_M062X_Z-46.FChk,0.0,0.0,-0.0004600000000000002,-1286.938529713534,1.802317706569539,367.2220873068306,-2885.016594060996,1.8021191580792687242,1.8022828539200515156,-366.918613621274637,1.8023166528183436182,-367.2726872553081365,3819.4003944057396582,1.8023326092910108014,-367.5470893962860485,6309.955485539621267,-16330182.092708705632,1.8023108544113363474,-366.9717683023962179,-1768.3376474402452603,51607999.330187081832
lib_bnnt_M062X_Z-45.FChk,0.0,0.0,-0.0004500000000000002,-1286.938511708588,1.798645629886848,367.1932667965269,-2879.422795144092,1.7984591232550261984,1.7986137672545862394,-366.8987194717826538,1.7986441162527720613,-367.2346921628259282,3779.6181020359383909,1.7986574511843126657,-367.484801875554087,6147.996158972796711,-16061683.220656296219,1.7986410567876525266,-366.98692126367238828,-1267.2233250598377445,48626768.970595145584
lib_bnnt_M062X_Z-44.FChk,0.0,0.0,-0.0004400000000000002,-1286.9384937405,1.794973841023369,367.1644921634656,-2875.818952458195,1.7947990884307836527,1.7949448795306158631,-366.87882532229067045,1.794971957649010688,-367.19709489326741775,3739.8358096661369077,1.7949829078996053135,-367.4241205231441908,5988.721821126495385,-15793184.348603885352,1.794971132196176273,-366.99721095286026426,-795.56419153433130287,45716961.559206570197
lib_bnnt_M062X_Z-43.FChk,0.0,0.0,-0.0004300000000000002,-1286.938475809181,1.791302339946299,367.1357430530618,-2874.409263384374,1.791139053606541127,1.7912761907481404265,-366.85893117279868725,1.7913001730288303012,-367.15989544663260546,3700.0535172963356403,1.7913089635094549996,-367.36501848916915527,5832.1324720007190168,-15524685.476551475938,1.7913011278087728909,-367.00292835070098446,-352.64601738169425804,42878577.096021387217
lib_bnnt_M062X_Z-42.FChk,0.0,0.0,-0.0004200000000000002,-1286.93845791447,1.787631126222327,367.1070081510695,-2875.448935045412,1.7874790187822985813,1.78760770090715989,-366.83903702330670393,1.7876287584140016241,-367.12309382292149104,3660.271224926534157,1.7876356023549267722,-367.3074689237417747,5678.2281115954659083,-15256186.604499065071,1.7876310879232116683,-367.00435729564086765,62.245426880107684653,40111615.581039565863
lib_bnnt_M062X_Z-41.FChk,0.0,0.0,-0.0004100000000000002,-1286.938440056493,1.783960200106586,367.0782247570487,-2879.254912103235,1.7838189839580560554,1.7839394100076742932,-366.81914287381472073,1.7839577098262954597,-367.08669002213407478,3620.4889325567328897,1.7839628090455846301,-367.25144497697484422,5527.008739910737728,-14987687.732446655657,1.7839610540345889835,-367.00177448383141166,449.82437073310768483,37416077.014261136148
lib_bnnt_M062X_Z-40.FChk,0.0,0.0,-0.0004000000000000002,-1286.938422235273,1.78028956193243,367.0493998349807,-2886.208336754311,1.7801589491338135099,1.7802713180496835962,-366.7992487243227374,1.7802870232874825311,-367.0506840442703564,3580.7066401869314065,1.780290568459491365,-367.1969197989811582,5378.474356946532836,-14719188.86039424479,1.7802910649067510946,-366.99544946912929466,810.8050436593416337,34791961.395686068838
lib_bnnt_M062X_Z-39.FChk,0.0,0.0,-0.0003900000000000002,-1286.938404450688,1.776619212289349,367.0204883814189,-2896.742117832399,1.776498914309570984,1.776603425033187839,-366.7793545748307542,1.7766166948193336409,-367.01507588933033616,3540.924347817130139,1.7766188657432087208,-367.14386653987351183,5232.6249627028528435,-14450689.9883418353775,1.7766211566437172462,-366.98564466309637397,1145.9016751408410917,32239268.725314392377
